sample,id,phenomenon,ground_truth,pre_judge_prediction,prediction,judge_mode,judge_scope,judge_requested,judge_status,judge_trigger_reasons,judge_verdict,judge_confidence,judge_format_valid,judge_evidence_ids,judge_invalid_evidence_ids,judge_reason,judge_revision_accepted,judge_revision_reason,judge_seconds,judge_feedback_candidate_recorded,judge_feedback_role,judge_feedback_memory_update_applied,mediator_status,mediator_provisional_verdict,mediator_confidence,mediator_format_valid,mediator_evidence_ids,mediator_invalid_evidence_ids,mediator_disputed_issues,mediator_agent1_questions,mediator_agent2_questions,mediator_verification_requests,mediator_reason,mediator_usable,mediator_tiebreak_used,mediator_seconds,tribunal_state,tribunal_round_count,tribunal_stop_reason,tribunal_review_status,tribunal_revision_accepted,tribunal_revision_reason,tribunal_corroboration_reason,tribunal_acceptance_checks,tribunal_verified_evidence_id,judge_counterfactual_outcome
10,vflute_train_872,sarcasm,CONTRADICTS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_abstained,all_samples_scope,ABSTAIN,0.0,True,VF001 | VF002,,Subjective sentiment cannot be verified from objective visual data alone.,False,tribunal_not_resolved,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,LC001 | LM001,,Caption expresses subjective dislike; image shows neutral interior. No direct conflict resolvable without external context.,Is this hallway specifically inside a convention center?,Can you confirm if the speaker's negative sentiment applies to this specific design?,Check if the location matches the claim's implied setting.,Caption expresses subjective dislike; image shows neutral interior. No direct conflict resolvable without external context.,True,False,73.3309,ABSTAINED,2,mediator_abstained,ABSTAIN,False,tribunal_not_resolved,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": false, ""detail"": """"}]",,
11,vflute_train_4201,sarcasm,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,ENTAILS,1.0,True,DW001 | VF002,,"Visual evidence DW001 and VF002 confirm dog occupies study space, supporting 'sitting on notes' claim.",False,claim_contract_not_safe,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF002 | VF003,,Caption claims 'sitting on my notes' while visual shows dog resting head on open notebook; verify if 'notes' refers to the open notebook or another document.,Re-inspect the dog's head position relative to the open notebook and the thick book underneath.,Clarify if 'my notes' refers specifically to the open notebook with handwritten text or a different document.,Check if the dog is physically blocking the view of any other documents besides the open notebook.,Caption claims 'sitting on my notes' while visual shows dog resting head on open notebook; verify if 'notes' refers to the open notebook or another document.,True,False,47.2482,PRESERVED,2,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,unchanged
12,vflute_train_1940,humor,CONTRADICTS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,VF005 | VT008 | VT009,,Visual text directly contradicts the caption's assertion of external causes by naming a specific group as the cause of the fall.,False,claim_contract_not_safe,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,CA001,VC001,"Caption claims external factors are to blame, but meme implies self-blame via 'why did the jews do this to me' after listing personal failures.",Does the final panel imply Kanye blames others or himself for his downfall?,Is the phrase 'why did the jews do this to me' intended to shift blame externally or express victimhood?,Check if the meme's narrative arc supports the caption's attribution of responsibility.,"Caption claims external factors are to blame, but meme implies self-blame via 'why did the jews do this to me' after listing personal failures.",False,False,55.83,PRESERVED,2,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,corrected
13,vflute_train_3255,humor,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_abstained,all_samples_scope,ABSTAIN,0.0,True,VF001 | VF002,,Visual evidence shows a meeting setup but lacks explicit confirmation of the caption's specific intent; requires clarification on whether the scene represents the claimed event.,False,tribunal_not_resolved,0.0,False,,False,ABSTAIN,ABSTAIN,0.0,True,VF001 | VF002 | VF003,,Caption 'Welcome to orientation' implies a specific event context not visually confirmed by the static image.,Can you confirm if the setting depicts an active orientation session or just a meeting setup?,Is there any textual or contextual evidence linking this scene specifically to a 'welcome' event?,Check for any background details suggesting an orientation event beyond the table arrangement.,Caption 'Welcome to orientation' implies a specific event context not visually confirmed by the static image.,False,False,64.9394,ABSTAINED,2,mediator_abstained,ABSTAIN,False,tribunal_not_resolved,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": false, ""detail"": """"}]",,
14,vflute_train_1584,metaphor,CONTRADICTS,CONTRADICTS,CONTRADICTS,tribunal,all,True,tribunal_abstained,all_samples_scope,ABSTAIN,0.0,False,,,,False,invalid_tribunal_contract,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF004 | VR005,,"Caption claims 'house on fire' (volatile/intense), but visual facts show calm, loving interaction (smiling, hearts). No conflict yet; needs semantic review.",Does the image show signs of volatility or destruction?,Is 'house on fire' a literal description or purely metaphorical here?,Check if any visual cues contradict the 'volatile' interpretation.,"Caption claims 'house on fire' (volatile/intense), but visual facts show calm, loving interaction (smiling, hearts). No conflict yet; needs semantic review.",True,False,48.1731,ABSTAINED,1,mediator_abstained,ABSTAIN,False,invalid_tribunal_contract,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": false, ""detail"": """"}]",,
15,vflute_train_1943,metaphor,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,VF004 | VF006,,Visual evidence of drowning contradicts the claim of anger.,False,tribunal_citations_lack_independent_direction,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF004 | VR003,,Open mouth and screaming expression do not definitively prove 'intense anger' without context; could be fear or shock.,"Can you confirm if the open mouth indicates anger specifically, or could it represent fear/shock?",Is there any visual cue in the image that explicitly depicts anger rather than just distress?,Check if the facial expression aligns with anger semantics versus other negative emotions.,Open mouth and screaming expression do not definitively prove 'intense anger' without context; could be fear or shock.,True,False,47.8426,PRESERVED,1,tribunal_citations_lack_independent_direction,RESOLVE,False,tribunal_citations_lack_independent_direction,current_round_visual_witness_not_cited,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_grounded"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_match_decision_grade_direction"", ""passed"": false, ""detail"": """"}]",,harmed
16,vflute_train_1597,sarcasm,CONTRADICTS,ENTAILS,CONTRADICTS,tribunal,all,True,tribunal_revision_accepted,all_samples_scope,CONTRADICTS,0.95,True,VF001 | DW001,,Visual evidence directly contradicts the caption's premise of proximity to an ad; the bottom image lacks the advertised product's features.,True,accepted_stronger_current_image_evidence:IV001,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,LC001 | LM001,,"Caption claims annoyance from proximity to an ad, but image shows a meme comparing a Subway sandwich to plain bread. No ad is visible.",Please confirm if any advertisement appears near the sandwich in the image.,Clarify if the 'ad' mentioned refers to the Subway branding visible on the sandwich itself.,Check for any background elements resembling an advertisement.,"Caption claims annoyance from proximity to an ad, but image shows a meme comparing a Subway sandwich to plain bread. No ad is visible.",True,False,32.1637,RESOLVED,1,accepted_stronger_current_image_evidence:IV001,RESOLVE,True,accepted_stronger_current_image_evidence:IV001,three_source_relation_corroboration,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_grounded"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_citations_match_decision_grade_direction"", ""passed"": true, ""detail"": ""IV001""}, {""name"": ""deterministic_review_board_acceptance"", ""passed"": true, ""detail"": """"}]",IV001,corrected
17,vflute_train_1312,sarcasm,ENTAILS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_abstained,all_samples_scope,ABSTAIN,0.0,True,DW001 | DW002,,Unresolved: Caption claims frustration over market behavior; image depicts financial news about margin funding without supporting the claim.,False,tribunal_not_resolved,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF001 | VF002 | VF003 | VF004 | VF005,,Claim expresses frustration over irrational market behavior; evidence describes regulatory changes and market growth. No direct conflict or support exists.,Does the image show any indication of market volatility or irrationality?,Is there any mention of 'dumb strategies' or inability to control markets?,Check if the claim's emotional tone matches the neutral regulatory news.,Claim expresses frustration over irrational market behavior; evidence describes regulatory changes and market growth. No direct conflict or support exists.,True,False,65.2474,ABSTAINED,2,mediator_abstained,ABSTAIN,False,tribunal_not_resolved,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": false, ""detail"": """"}]",,
18,vflute_train_4255,humor,CONTRADICTS,ENTAILS,ENTAILS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,CONTRADICTS,0.95,True,CC001 | CS001,,"Direct conflict identified: Caption implies positive preference, but image content (angry Thomas + 'bullshit' text) indicates negative reaction to the phenomenon described, making the claim factually unsupported by the visual context.",False,agent2_requirements_invalid,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,CC001,,"Claim conflates 'unpopped' with 'not popping when squeezed'; image shows active squeezing, not static unpopped state.","Does the image show bubble wrap that refuses to pop when squeezed, or just looks like it?",Is the claim about 'unpopped' referring to the specific action of squeezing in the image?,Check if 'unpopped' refers to the squeezing action in the image.,"Claim conflates 'unpopped' with 'not popping when squeezed'; image shows active squeezing, not static unpopped state.",True,False,60.9661,PRESERVED,2,agent2_requirements_invalid,RESOLVE,False,agent2_requirements_invalid,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_direction_not_well_defined"", ""passed"": true, ""detail"": """"}, {""name"": ""agent2_requirements_invalid"", ""passed"": false, ""detail"": """"}]",,corrected
19,vflute_train_4555,humor,ENTAILS,CONTRADICTS,CONTRADICTS,tribunal,all,True,tribunal_revision_rejected,all_samples_scope,ENTAILS,0.95,True,DW001 | VF001,,Visual evidence directly supports caption via established meme format; no missing evidence.,False,claim_contract_not_safe,0.0,False,,False,MEDIATE,ABSTAIN,0.0,True,VF001 | VF004 | VF006,,Claim 'open to conversation' vs. visual 'submerged' requires clarification of metaphorical intent.,Is the frog's submersion intended to represent introversion or lack of engagement?,Does 'open to conversation' imply active interaction or just potential for it?,Check if 'submerged' visually contradicts 'open to conversation' metaphorically.,Claim 'open to conversation' vs. visual 'submerged' requires clarification of metaphorical intent.,True,False,31.3298,PRESERVED,1,claim_contract_not_safe,RESOLVE,False,claim_contract_not_safe,,"[{""name"": ""invalid_tribunal_contract"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_not_resolved"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_has_no_binary_verdict"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_confidence_below_threshold"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_unknown_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_cited_no_current_image_evidence"", ""passed"": true, ""detail"": """"}, {""name"": ""tribunal_reported_no_visual_observation"", ""passed"": true, ""detail"": """"}, {""name"": ""claim_contract_not_safe"", ""passed"": false, ""detail"": """"}]",,corrected
